uid,age,gender,province
2670699760,1,1,1
1619396022,1,1,1
1855319517,1,1,1
1880448490,1,1,1
3206847373,1,1,1
1645648351,1,1,1
2246375172,1,1,1
1410016511,1,1,1
2205338177,1,1,1
1423236984,1,1,1
1782796481,1,1,1
3128719942,1,1,1
2459711325,1,1,1
2510862543,1,1,1
1871983194,1,1,1
1181431895,1,1,1
2627345571,1,1,1
1073374664,1,1,1
2384305011,1,1,1
2262608590,1,1,1
1790118144,1,1,1
1082420940,1,1,1
1342147282,1,1,1
2256919917,1,1,1
3164061791,1,1,1
1731031795,1,1,1
1180502585,1,1,1
2132380980,1,1,1
2181797375,1,1,1
2845614373,1,1,1
1923214905,1,1,1
1763266503,1,1,1
2609577162,1,1,1
1762504152,1,1,1
2854188982,1,1,1
1401785002,1,1,1
1086482047,1,1,1
1868517934,1,1,1
1771550825,1,1,1
1768137164,1,1,1
2216382331,1,1,1
1889726467,1,1,1
2274870443,1,1,1
2564038235,1,1,1
2928274092,1,1,1
2349793513,1,1,1
2821834280,1,1,1
1911862417,1,1,1
2700668292,1,1,1
2537364095,1,1,1
3066415743,1,1,1
1369457251,1,1,1
2099764285,1,1,1
1655732820,1,1,1
2174907263,1,1,1
2802053524,1,1,1
2662349711,1,1,1
1459932801,1,1,1
2835660065,1,1,1
2675330351,1,1,1
1843553850,1,1,1
1769167525,1,1,1
2308003093,1,1,1
1820649290,1,1,1
2111181653,1,1,1
1877920917,1,1,1
1768369801,1,1,1
1927317025,1,1,1
2710871370,1,1,1
1256124482,1,1,1
1785108597,1,1,1
1869091607,1,1,1
2107380817,1,1,1
1682059491,1,1,1
1429913582,1,1,1
1590497077,1,1,1
1846246675,1,1,1
1701008581,1,1,1
3155084540,1,1,1
2305918423,1,1,1
1216795565,1,1,1
2376558805,1,1,1
2507796045,1,1,1
1336351400,1,1,1
1695817525,1,1,1
1849115272,1,1,1
2296571643,1,1,1
2368914063,1,1,1
1414874342,1,1,1
2511704410,1,1,1
1551311961,1,1,1
2050268993,1,1,1
1391429917,1,1,1
1567657033,1,1,1
2701059532,1,1,1
1279750675,1,1,1
1869335227,1,1,1
3136112385,1,1,1
1706144641,1,1,1
2282459260,1,1,1
1907411770,1,1,1
2948535201,1,1,1
1882536614,1,1,1
1526297793,1,1,1
1882993815,1,1,1
1350455380,1,1,1
1854142525,1,1,1
3079824341,1,1,1
1311534325,1,1,1
2276432117,1,1,1
2338461283,1,1,1
1784862801,1,1,1
1829288844,1,1,1
1821516832,1,1,1
1259618275,1,1,1
1757077381,1,1,1
2624283101,1,1,1
1904390557,1,1,1
2743059347,1,1,1
3153982355,1,1,1
2797669124,1,1,1
1961950242,1,1,1
1791115641,1,1,1
2231180301,1,1,1
2661045443,1,1,1
1402681787,1,1,1
1254271303,1,1,1
3271593641,1,1,1
1739128605,1,1,1
1875770121,1,1,1
2266192447,1,1,1
1950471321,1,1,1
1857549511,1,1,1
1892229353,1,1,1
1909016513,1,1,1
2815053851,1,1,1
2535953562,1,1,1
1400771093,1,1,1
1850000380,1,1,1
2894146075,1,1,1
1807787447,1,1,1
1622589630,1,1,1
2178733493,1,1,1
1453457135,1,1,1
2659196643,1,1,1
1180350117,1,1,1
2384469307,1,1,1
2769029983,1,1,1
2659750053,1,1,1
1790038634,1,1,1
1737499791,1,1,1
1258211390,1,1,1
