uid,0_prob,1_prob,2_prob,3_prob,4_prob,5_prob,6_prob,7_prob,None_prob
1410016511,0.0906070673513,0.270009060707,0.261854424645,0.0782241014799,0.168831168831,0.0845665961945,0.0308064028994,0.0151011778919,0.0
1619396022,0.0906070673513,0.270009060707,0.261854424645,0.0782241014799,0.168831168831,0.0845665961945,0.0308064028994,0.0151011778919,0.0
1855319517,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1923214905,0.153846153846,0.0769230769231,0.153846153846,0.153846153846,0.0,0.461538461538,0.0,0.0,0.0
3206847373,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1645648351,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2246375172,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1758661611,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2308003093,0.0906070673513,0.270009060707,0.261854424645,0.0782241014799,0.168831168831,0.0845665961945,0.0308064028994,0.0151011778919,0.0
1423236984,0.0,0.333333333333,0.333333333333,0.0,0.333333333333,0.0,0.0,0.0,0.0
1782796481,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3128719942,0.0,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0
2111181653,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2510862543,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1871983194,0.0,0.2,0.2,0.2,0.4,0.0,0.0,0.0,0.0
1181431895,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2627345571,0.0,0.166666666667,0.166666666667,0.0,0.0,0.5,0.166666666667,0.0,0.0
1073374664,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2384305011,0.0,0.5,0.0,0.25,0.0,0.0,0.25,0.0,0.0
2262608590,0.0906070673513,0.270009060707,0.261854424645,0.0782241014799,0.168831168831,0.0845665961945,0.0308064028994,0.0151011778919,0.0
3155084540,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2260774397,0.0906070673513,0.270009060707,0.261854424645,0.0782241014799,0.168831168831,0.0845665961945,0.0308064028994,0.0151011778919,0.0
1082420940,0.0906070673513,0.270009060707,0.261854424645,0.0782241014799,0.168831168831,0.0845665961945,0.0308064028994,0.0151011778919,0.0
1402681787,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2256919917,0.1,0.1,0.3,0.2,0.2,0.1,0.0,0.0,0.0
3164061791,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
